timestamp,open,high,low,close,volume,bid_volume,ask_volume,num_ticks,avg_spread,best_bid,best_ask
13:29:00,115417.8,115417.8,115387.1,115387.1,4468.501802,2198.082948,2270.418854,590,11831.14339,109452.1,121322.1
13:30:00,115387.1,115393.05,115344.1,115349.85,4603.958282,2238.548498,2365.409784,596,11898.99916,109377.6,121322.1
13:31:00,115349.85,115376.25,115314.75,115314.75,4689.003621,2192.168068,2496.835552,597,11936.01256,109307.4,121322.1
13:32:00,115314.75,115319.85,115279.1,115279.1,4740.024045,2304.398834,2435.62521,595,12040.43681,109236.1,121322.1
13:33:00,115279.1,115312.7,115262.1,115309.1,4266.62051,1290.019512,2976.600999,599,12049.74641,109296.1,121322.1
13:34:00,115307.9,115324.65,115293.1,115311.5,4550.725814,1640.731143,2909.994672,595,12016.40571,109300.9,121322.1
13:35:00,115311.5,115329.45,115293.1,115293.1,5009.039354,2446.719316,2562.320038,598,12024.33027,109264.1,121322.1
13:36:00,115293.1,115294.65,115265.9,115291.05,4689.531115,2214.394249,2475.136866,598,12075.36957,109260,121322.1
13:37:00,115291.05,115295.85,115261.1,115280.25,4721.935553,1908.969646,2812.965907,590,12083.26136,109238.4,121322.1
13:38:00,115280.25,115295.05,115264.7,115295.05,4378.58866,1614.497928,2764.090732,589,12083.16893,109268,121322.1
13:39:00,115295.05,115295.05,115276.7,115288.8,4881.24278,2194.977568,2686.265213,593,12076.57538,109255.5,121322.1
13:40:00,115288.8,115288.8,115271.9,115277.9,4496.045744,1823.955066,2672.090677,597,12083.60385,109233.7,121322.1
13:41:00,115277.9,115315.05,115277.9,115315.05,4703.070809,1090.047793,3613.023015,595,12060.6405,109308,121322.1
13:42:00,115315.05,115315.05,115258.1,115269.45,5047.716727,2403.9194,2643.797328,590,12063.87305,109216.8,121322.1
13:43:00,115269.45,115270.65,115226.15,115262.25,4369.34301,1615.743116,2753.599894,595,12136.87227,109202.4,121322.1
13:44:00,115262.25,115262.25,115218.8,115245.45,4684.442264,2255.466556,2428.975707,596,12155.45923,109168.8,121322.1
13:45:00,115245.45,115245.45,115184.3,115202.25,5290.457872,2827.80823,2462.649642,600,12218.05533,109082.4,121322.1
13:46:00,115202.25,115202.25,115124.05,115176.45,4497.405539,1871.335838,2626.069701,599,12320.80935,109030.8,121322.1
13:47:00,115178.05,115220.25,115166.3,115186.95,4741.856983,1994.218966,2747.638017,600,12253.89167,109051.8,121322.1
